<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
EURUSD,D,31/12/21,000000,1.1322000,1.1386500,1.1301000,1.1366400,718761
EURUSD,D,02/01/22,000000,1.1370700,1.1379000,1.1364600,1.1372600,29485
EURUSD,D,03/01/22,000000,1.1372000,1.1375600,1.1278000,1.1301600,1072773
EURUSD,D,04/01/22,000000,1.1301400,1.1322600,1.1271000,1.1282300,1174333
EURUSD,D,05/01/22,000000,1.1282100,1.1346500,1.1275000,1.1310600,1265950
EURUSD,D,06/01/22,000000,1.1310400,1.1332000,1.1283000,1.1293000,1344351
EURUSD,D,07/01/22,000000,1.1294900,1.1364900,1.1288000,1.1359000,1144770
EURUSD,D,09/01/22,000000,1.1345800,1.1360300,1.1345700,1.1353600,50898
EURUSD,D,10/01/22,000000,1.1353600,1.1358100,1.1283000,1.1330100,1205169
EURUSD,D,11/01/22,000000,1.1329800,1.1375400,1.1311000,1.1365800,1194831
EURUSD,D,12/01/22,000000,1.1366000,1.1452800,1.1353000,1.1439300,1233968
EURUSD,D,13/01/22,000000,1.1439500,1.1481800,1.1433000,1.1455000,1241402
EURUSD,D,14/01/22,000000,1.1456600,1.1483000,1.1397000,1.1414000,1337614
EURUSD,D,16/01/22,000000,1.1412800,1.1416900,1.1404000,1.1411000,36574
EURUSD,D,17/01/22,000000,1.1410500,1.1434500,1.1390000,1.1410100,835175
EURUSD,D,18/01/22,000000,1.1410000,1.1421500,1.1313000,1.1328700,1516174
EURUSD,D,19/01/22,000000,1.1328700,1.1357200,1.1317000,1.1342600,1237004
EURUSD,D,20/01/22,000000,1.1342200,1.1369100,1.1300000,1.1312500,1272913
EURUSD,D,21/01/22,000000,1.1312500,1.1359900,1.1298000,1.1340000,1221294
EURUSD,D,23/01/22,000000,1.1340900,1.1345000,1.1335000,1.1340900,29373
EURUSD,D,24/01/22,000000,1.1340400,1.1341100,1.1289000,1.1322900,1485305
EURUSD,D,25/01/22,000000,1.1323600,1.1324100,1.1261000,1.1302800,1376156
EURUSD,D,26/01/22,000000,1.1302200,1.1310800,1.1234000,1.1240400,1572606
EURUSD,D,27/01/22,000000,1.1240800,1.1243400,1.1130000,1.1144200,1611225
EURUSD,D,28/01/22,000000,1.1143800,1.1173700,1.1120000,1.1147000,1479559
EURUSD,D,30/01/22,000000,1.1141500,1.1152500,1.1137000,1.1151100,36606
EURUSD,D,31/01/22,000000,1.1151900,1.1247900,1.1142000,1.1229100,1459110
EURUSD,D,01/02/22,000000,1.1229200,1.1278800,1.1219000,1.1272800,1420852
EURUSD,D,02/02/22,000000,1.1272900,1.1330200,1.1264000,1.1299400,1199508
EURUSD,D,03/02/22,000000,1.1299200,1.1451500,1.1266000,1.1435600,1665568
EURUSD,D,04/02/22,000000,1.1435600,1.1483900,1.1409000,1.1446000,1576488
EURUSD,D,06/02/22,000000,1.1462800,1.1465200,1.1449000,1.1454500,35804
EURUSD,D,07/02/22,000000,1.1454500,1.1459000,1.1412000,1.1441000,1459925
EURUSD,D,08/02/22,000000,1.1440300,1.1448800,1.1394000,1.1420600,1291819
EURUSD,D,09/02/22,000000,1.1420600,1.1447900,1.1401000,1.1420100,1146090
EURUSD,D,10/02/22,000000,1.1420800,1.1494900,1.1373000,1.1411300,1818133
EURUSD,D,11/02/22,000000,1.1411400,1.1418200,1.1328000,1.1349000,1966366
EURUSD,D,13/02/22,000000,1.1331400,1.1367200,1.1331400,1.1364600,70684
EURUSD,D,14/02/22,000000,1.1364600,1.1369200,1.1278000,1.1305800,1873198
EURUSD,D,15/02/22,000000,1.1305600,1.1368400,1.1301000,1.1355100,1493138
EURUSD,D,16/02/22,000000,1.1355100,1.1395900,1.1342000,1.1372500,1397731
EURUSD,D,17/02/22,000000,1.1372500,1.1386300,1.1321000,1.1363000,1777598
EURUSD,D,18/02/22,000000,1.1363800,1.1377100,1.1312000,1.1320000,1386524
EURUSD,D,20/02/22,000000,1.1318000,1.1326100,1.1310000,1.1316500,50304
EURUSD,D,21/02/22,000000,1.1316400,1.1390700,1.1295000,1.1309300,1077234
EURUSD,D,22/02/22,000000,1.1308900,1.1366900,1.1286000,1.1328800,1838916
EURUSD,D,23/02/22,000000,1.1328900,1.1359300,1.1299000,1.1304600,1270887
EURUSD,D,24/02/22,000000,1.1305500,1.1306200,1.1104000,1.1189700,3278607
EURUSD,D,25/02/22,000000,1.1190200,1.1274300,1.1164000,1.1267000,2174958
EURUSD,D,27/02/22,000000,1.1137000,1.1188300,1.1120000,1.1179900,163929
EURUSD,D,28/02/22,000000,1.1180200,1.1246500,1.1140000,1.1213400,2385057
EURUSD,D,01/03/22,000000,1.1214100,1.1233100,1.1088000,1.1131000,2130473
EURUSD,D,02/03/22,000000,1.1132200,1.1144000,1.1055000,1.1111000,2418050
EURUSD,D,03/03/22,000000,1.1111600,1.1115500,1.1032000,1.1064900,1789096
EURUSD,D,04/03/22,000000,1.1065700,1.1066700,1.0884000,1.0926000,2306834
EURUSD,D,06/03/22,000000,1.0933000,1.0959000,1.0862000,1.0873600,101994
EURUSD,D,07/03/22,000000,1.0872900,1.0932500,1.0804000,1.0865400,3073374
