<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GDAX.BCH-USD,D,31/12/21,000000,431.5600000,437.2300000,419.3300000,430.1500000,27785
GDAX.BCH-USD,D,01/01/22,000000,430.3500000,445.9200000,430.3300000,445.0700000,19454
GDAX.BCH-USD,D,02/01/22,000000,445.0300000,452.3700000,442.6800000,447.8300000,12469
GDAX.BCH-USD,D,03/01/22,000000,447.8500000,448.0000000,431.0800000,434.6100000,11091
GDAX.BCH-USD,D,04/01/22,000000,434.7200000,439.4500000,425.3400000,427.3800000,15071
GDAX.BCH-USD,D,05/01/22,000000,427.2900000,432.4500000,390.9000000,399.7900000,24493
GDAX.BCH-USD,D,06/01/22,000000,399.7200000,402.8500000,387.2700000,399.7600000,25297
GDAX.BCH-USD,D,07/01/22,000000,400.1000000,401.4000000,375.3200000,385.8900000,31308
GDAX.BCH-USD,D,08/01/22,000000,385.9600000,391.5900000,361.5800000,372.8400000,22143
GDAX.BCH-USD,D,09/01/22,000000,372.9800000,381.1600000,367.9200000,376.9400000,15942
GDAX.BCH-USD,D,10/01/22,000000,376.8700000,378.5700000,348.0000000,363.5600000,25863
GDAX.BCH-USD,D,11/01/22,000000,363.4300000,374.9400000,361.7500000,369.8400000,17363
GDAX.BCH-USD,D,12/01/22,000000,369.9400000,385.8100000,367.9500000,383.8300000,16550
GDAX.BCH-USD,D,13/01/22,000000,383.9800000,391.7200000,376.4200000,377.6700000,14377
GDAX.BCH-USD,D,14/01/22,000000,377.8600000,393.7500000,375.8500000,385.7300000,17516
GDAX.BCH-USD,D,15/01/22,000000,385.7400000,393.0900000,383.2900000,390.8600000,10898
GDAX.BCH-USD,D,16/01/22,000000,390.7600000,393.6300000,382.5800000,388.4800000,9365
GDAX.BCH-USD,D,17/01/22,000000,388.5000000,389.3500000,373.2700000,380.7500000,12937
GDAX.BCH-USD,D,18/01/22,000000,380.7700000,398.9200000,374.7000000,381.4700000,33365
GDAX.BCH-USD,D,19/01/22,000000,381.5000000,384.5300000,365.9900000,369.1000000,16578
GDAX.BCH-USD,D,20/01/22,000000,369.0700000,384.2800000,356.4500000,357.7400000,16911
GDAX.BCH-USD,D,21/01/22,000000,357.6000000,360.0800000,308.4600000,315.0400000,39741
GDAX.BCH-USD,D,22/01/22,000000,314.8500000,318.9800000,265.4300000,291.8800000,66402
GDAX.BCH-USD,D,23/01/22,000000,292.0800000,303.6400000,283.9900000,302.7400000,49586
GDAX.BCH-USD,D,24/01/22,000000,302.5100000,302.7700000,259.6000000,292.5100000,65289
GDAX.BCH-USD,D,25/01/22,000000,292.4800000,295.1400000,283.4500000,291.7000000,30926
GDAX.BCH-USD,D,26/01/22,000000,291.6700000,315.1800000,284.1000000,289.4200000,41806
GDAX.BCH-USD,D,27/01/22,000000,289.0300000,295.2000000,277.6900000,289.6400000,31580
GDAX.BCH-USD,D,28/01/22,000000,289.7100000,297.4900000,281.9400000,296.7900000,23261
GDAX.BCH-USD,D,29/01/22,000000,296.9400000,302.2500000,291.4900000,299.0300000,14385
GDAX.BCH-USD,D,30/01/22,000000,299.1200000,302.4500000,287.8300000,290.0200000,13908
GDAX.BCH-USD,D,31/01/22,000000,290.0300000,290.6000000,278.2500000,285.2300000,32061
GDAX.BCH-USD,D,01/02/22,000000,285.2300000,291.1200000,282.6900000,287.9500000,20610
GDAX.BCH-USD,D,02/02/22,000000,288.2500000,296.9400000,276.4100000,278.0000000,20395
GDAX.BCH-USD,D,03/02/22,000000,278.1000000,281.7600000,271.2000000,281.4600000,31364
GDAX.BCH-USD,D,04/02/22,000000,281.3900000,307.1000000,276.6300000,306.3700000,33525
GDAX.BCH-USD,D,05/02/22,000000,306.4000000,329.2400000,302.7100000,320.9300000,32260
GDAX.BCH-USD,D,06/02/22,000000,320.9300000,328.8300000,312.6100000,324.8000000,19406
GDAX.BCH-USD,D,07/02/22,000000,324.8000000,344.1900000,318.2900000,343.4400000,39970
GDAX.BCH-USD,D,08/02/22,000000,343.4800000,355.9600000,325.1300000,335.5700000,36068
