<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
ICE.BRN,D,31/12/21,000000,78.8100000,79.6800000,77.5500000,77.9400000,107480
ICE.BRN,D,02/01/22,000000,78.1100000,78.4900000,78.0300000,78.4000000,1321
ICE.BRN,D,03/01/22,000000,78.3900000,79.2800000,77.0400000,78.9100000,127231
ICE.BRN,D,04/01/22,000000,78.9100000,80.5500000,78.6200000,80.1600000,166250
ICE.BRN,D,05/01/22,000000,80.0700000,81.5000000,79.5100000,80.2400000,169933
ICE.BRN,D,06/01/22,000000,80.2200000,82.8300000,79.6100000,81.9800000,197269
ICE.BRN,D,07/01/22,000000,82.0000000,83.0000000,81.4200000,81.9300000,172330
ICE.BRN,D,09/01/22,000000,81.7600000,81.9500000,81.2700000,81.4700000,1019
ICE.BRN,D,10/01/22,000000,81.4900000,82.3000000,80.5000000,81.0000000,169401
ICE.BRN,D,11/01/22,000000,81.0800000,83.9800000,80.8900000,83.7500000,189869
ICE.BRN,D,12/01/22,000000,83.7800000,85.2100000,83.5200000,84.8400000,174378
ICE.BRN,D,13/01/22,000000,84.8700000,85.1000000,83.7900000,84.1100000,147392
ICE.BRN,D,14/01/22,000000,84.1200000,86.5000000,83.9900000,86.4700000,186941
ICE.BRN,D,16/01/22,000000,86.1500000,86.7100000,86.1500000,86.5400000,2569
ICE.BRN,D,17/01/22,000000,86.5400000,86.7000000,85.5400000,86.5300000,88405
ICE.BRN,D,18/01/22,000000,86.4700000,88.6600000,86.4400000,88.5700000,196581
ICE.BRN,D,19/01/22,000000,88.6500000,89.1700000,87.6100000,87.7200000,189459
ICE.BRN,D,20/01/22,000000,87.8900000,89.5000000,87.0500000,87.4800000,171278
ICE.BRN,D,21/01/22,000000,86.7500000,88.2300000,85.7100000,87.9000000,184708
ICE.BRN,D,23/01/22,000000,87.9300000,88.6500000,87.6500000,88.6400000,2169
ICE.BRN,D,24/01/22,000000,88.6400000,88.9000000,85.0400000,87.1700000,210678
ICE.BRN,D,25/01/22,000000,86.7600000,88.3700000,86.2000000,88.0800000,146202
ICE.BRN,D,26/01/22,000000,87.9500000,89.2700000,87.6500000,88.5300000,149103
ICE.BRN,D,27/01/22,000000,88.5000000,89.7400000,87.7900000,88.8800000,198602
ICE.BRN,D,28/01/22,000000,88.8100000,90.2700000,88.1500000,88.8800000,231813
ICE.BRN,D,30/01/22,000000,89.2000000,89.4600000,89.2000000,89.3800000,1179
ICE.BRN,D,31/01/22,000000,89.3800000,89.8000000,88.0900000,89.3100000,168838
ICE.BRN,D,01/02/22,000000,89.6200000,89.9600000,87.7200000,89.2900000,169124
ICE.BRN,D,02/02/22,000000,89.4800000,90.5200000,88.2800000,89.3400000,204574
ICE.BRN,D,03/02/22,000000,89.0700000,91.3000000,88.0200000,91.0700000,192107
ICE.BRN,D,04/02/22,000000,91.3000000,93.7000000,91.2000000,92.5200000,200655
ICE.BRN,D,06/02/22,000000,92.7500000,93.1200000,92.4700000,92.9500000,3870
ICE.BRN,D,07/02/22,000000,92.9300000,94.0000000,92.1300000,92.9500000,177932
ICE.BRN,D,08/02/22,000000,92.6300000,92.9300000,89.9300000,91.3200000,237602
ICE.BRN,D,09/02/22,000000,91.0800000,92.0900000,90.0500000,91.8000000,182654
ICE.BRN,D,10/02/22,000000,91.7500000,93.1000000,90.8800000,91.4500000,225173
ICE.BRN,D,11/02/22,000000,91.1700000,95.6600000,90.5100000,95.1000000,258599
ICE.BRN,D,13/02/22,000000,95.2000000,95.5200000,94.7500000,95.4300000,5892
ICE.BRN,D,14/02/22,000000,95.4300000,96.7800000,93.4400000,95.8500000,252925
ICE.BRN,D,15/02/22,000000,95.8100000,96.2600000,92.0600000,93.5000000,266815
ICE.BRN,D,16/02/22,000000,93.4900000,96.0700000,91.1100000,92.1000000,260706
ICE.BRN,D,17/02/22,000000,92.2000000,94.5000000,92.1400000,92.9400000,235073
ICE.BRN,D,18/02/22,000000,92.7300000,94.1500000,90.1200000,93.6100000,234629
ICE.BRN,D,20/02/22,000000,94.2900000,95.0000000,94.1800000,94.7300000,3234
ICE.BRN,D,21/02/22,000000,94.7400000,97.4000000,92.5700000,97.3500000,149451
ICE.BRN,D,22/02/22,000000,96.5500000,99.5000000,95.8000000,96.5000000,207858
ICE.BRN,D,23/02/22,000000,96.6500000,98.7100000,95.8100000,97.5400000,143194
ICE.BRN,D,24/02/22,000000,98.0800000,105.7900000,97.5600000,99.4100000,92935
ICE.BRN,D,25/02/22,000000,100.6900000,101.9900000,96.0000000,98.5700000,27890
ICE.BRN,D,27/02/22,000000,96.3400000,101.2800000,96.3400000,99.3600000,19731
ICE.BRN,D,28/02/22,000000,99.3900000,100.1500000,97.0200000,98.1200000,248494
ICE.BRN,D,01/03/22,000000,98.4300000,107.6700000,98.3000000,107.6500000,332679
ICE.BRN,D,02/03/22,000000,107.3400000,115.1100000,106.8300000,114.5400000,340139
ICE.BRN,D,03/03/22,000000,115.2700000,119.8400000,109.4000000,110.4400000,320519
ICE.BRN,D,04/03/22,000000,114.2300000,118.9800000,109.6200000,118.0500000,220128
ICE.BRN,D,06/03/22,000000,122.7900000,139.1300000,122.7900000,130.1400000,14535
ICE.BRN,D,07/03/22,000000,130.2300000,130.7500000,119.0400000,124.3700000,269650
ICE.BRN,D,08/03/22,000000,124.5600000,133.1500000,121.3100000,129.4700000,321357
ICE.BRN,D,09/03/22,000000,130.2800000,131.6400000,105.6000000,112.5100000,347012
ICE.BRN,D,10/03/22,000000,112.6500000,118.3600000,109.0000000,109.1800000,224964
ICE.BRN,D,11/03/22,000000,110.2600000,113.9100000,107.1300000,112.1200000,181933
ICE.BRN,D,13/03/22,000000,113.1500000,113.1500000,110.1000000,110.9800000,4873
ICE.BRN,D,14/03/22,000000,110.8200000,110.9600000,103.4900000,106.0000000,175589
ICE.BRN,D,15/03/22,000000,105.3400000,105.7100000,97.4400000,98.7500000,215286
ICE.BRN,D,16/03/22,000000,99.1400000,103.7000000,96.9300000,98.0400000,173717
ICE.BRN,D,17/03/22,000000,98.6100000,107.5000000,97.7500000,107.0100000,133238
ICE.BRN,D,18/03/22,000000,106.8000000,109.5900000,105.7800000,108.2000000,110259
ICE.BRN,D,20/03/22,000000,107.5000000,109.5000000,107.0600000,109.3100000,1039
ICE.BRN,D,21/03/22,000000,109.3200000,116.8000000,109.3200000,116.4000000,122147
ICE.BRN,D,22/03/22,000000,117.0400000,119.4800000,112.6400000,114.5800000,131400
ICE.BRN,D,23/03/22,000000,114.7000000,122.3400000,114.4500000,121.5200000,131957
ICE.BRN,D,24/03/22,000000,121.5600000,123.7400000,116.9300000,118.2000000,105582
ICE.BRN,D,25/03/22,000000,118.8800000,120.9200000,115.1600000,119.9800000,73408
ICE.BRN,D,27/03/22,000000,115.7900000,116.0300000,113.0000000,114.1200000,3825
ICE.BRN,D,28/03/22,000000,114.0900000,114.8200000,106.0600000,106.6000000,183379
ICE.BRN,D,29/03/22,000000,107.2100000,111.8000000,102.1900000,108.5600000,230507
ICE.BRN,D,30/03/22,000000,109.6000000,112.2800000,107.9300000,111.0000000,136387
ICE.BRN,D,31/03/22,000000,110.9900000,111.1600000,104.0600000,105.6500000,212910
ICE.BRN,D,01/04/22,000000,105.2500000,106.2400000,102.3500000,104.7500000,137968
ICE.BRN,D,03/04/22,000000,104.0800000,104.3100000,102.8900000,103.5400000,2374
ICE.BRN,D,04/04/22,000000,103.4900000,108.6800000,103.0700000,107.9800000,126449
ICE.BRN,D,05/04/22,000000,108.5100000,109.9000000,104.5300000,105.6800000,131302
ICE.BRN,D,06/04/22,000000,105.7000000,108.6700000,100.5400000,101.6500000,181454
ICE.BRN,D,07/04/22,000000,101.7800000,103.5900000,98.4100000,101.4100000,172293
ICE.BRN,D,08/04/22,000000,101.4200000,103.3000000,99.6500000,102.4000000,129545
ICE.BRN,D,10/04/22,000000,103.2100000,103.3000000,101.9100000,102.3400000,474
