<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
LME.Nickel,D,31/12/21,000000,20525.0000000,20820.0000000,20385.0000000,20705.0000000,2892
LME.Nickel,D,04/01/22,000000,20700.0000000,21165.0000000,20425.0000000,21040.0000000,10485
LME.Nickel,D,05/01/22,000000,20995.0000000,21090.0000000,20475.0000000,20695.0000000,8029
LME.Nickel,D,06/01/22,000000,20620.0000000,20620.0000000,20175.0000000,20390.0000000,6287
LME.Nickel,D,07/01/22,000000,20390.0000000,20785.0000000,20345.0000000,20770.0000000,5871
LME.Nickel,D,10/01/22,000000,20755.0000000,20990.0000000,20685.0000000,20799.0000000,5941
LME.Nickel,D,11/01/22,000000,21200.0000000,21850.0000000,21200.0000000,21795.0000000,9431
LME.Nickel,D,12/01/22,000000,21820.0000000,22745.0000000,21630.0000000,21980.0000000,15835
LME.Nickel,D,13/01/22,000000,22000.0000000,22220.0000000,21710.0000000,22175.0000000,7362
LME.Nickel,D,14/01/22,000000,22150.0000000,22935.0000000,21790.0000000,22225.0000000,10770
LME.Nickel,D,17/01/22,000000,22200.0000000,22280.0000000,21715.0000000,22135.0000000,6545
LME.Nickel,D,18/01/22,000000,22135.0000000,22465.0000000,21950.0000000,22080.0000000,6720
LME.Nickel,D,19/01/22,000000,22075.0000000,23230.0000000,22075.0000000,23170.0000000,9196
LME.Nickel,D,20/01/22,000000,23250.0000000,24435.0000000,23110.0000000,23850.0000000,15101
LME.Nickel,D,21/01/22,000000,23800.0000000,24350.0000000,23385.0000000,23850.0000000,21867
LME.Nickel,D,24/01/22,000000,24085.0000000,24180.0000000,22130.0000000,22535.0000000,14992
LME.Nickel,D,25/01/22,000000,22535.0000000,22620.0000000,21955.0000000,22380.0000000,29758
LME.Nickel,D,26/01/22,000000,22370.0000000,22900.0000000,22300.0000000,22770.0000000,6329
LME.Nickel,D,27/01/22,000000,22635.0000000,22775.0000000,22260.0000000,22475.0000000,8312
LME.Nickel,D,28/01/22,000000,22405.0000000,22500.0000000,22170.0000000,22180.0000000,5005
LME.Nickel,D,31/01/22,000000,22310.0000000,22635.0000000,21880.0000000,22235.0000000,4185
LME.Nickel,D,01/02/22,000000,22300.0000000,22950.0000000,22280.0000000,22735.0000000,4553
LME.Nickel,D,02/02/22,000000,22800.0000000,22900.0000000,22565.0000000,22850.0000000,3914
LME.Nickel,D,03/02/22,000000,22855.0000000,22895.0000000,22690.0000000,22840.0000000,2888
LME.Nickel,D,04/02/22,000000,22890.0000000,23000.0000000,22730.0000000,22920.0000000,4437
LME.Nickel,D,07/02/22,000000,22905.0000000,23685.0000000,22645.0000000,23400.0000000,9042
LME.Nickel,D,08/02/22,000000,23435.0000000,23435.0000000,22425.0000000,22740.0000000,8025
LME.Nickel,D,09/02/22,000000,22765.0000000,23350.0000000,22695.0000000,23280.0000000,6473
LME.Nickel,D,10/02/22,000000,23280.0000000,23790.0000000,23210.0000000,23400.0000000,8547
LME.Nickel,D,11/02/22,000000,23395.0000000,23540.0000000,22800.0000000,23235.0000000,8450
LME.Nickel,D,14/02/22,000000,23275.0000000,23850.0000000,22935.0000000,23225.0000000,8835
LME.Nickel,D,15/02/22,000000,23185.0000000,23550.0000000,22760.0000000,23370.0000000,6903
LME.Nickel,D,16/02/22,000000,23305.0000000,23600.0000000,23225.0000000,23450.0000000,4934
LME.Nickel,D,17/02/22,000000,23410.0000000,24055.0000000,23265.0000000,23930.0000000,6792
LME.Nickel,D,18/02/22,000000,23890.0000000,24295.0000000,23810.0000000,24270.0000000,4713
LME.Nickel,D,21/02/22,000000,24300.0000000,24610.0000000,23900.0000000,24495.0000000,5544
LME.Nickel,D,22/02/22,000000,24405.0000000,25135.0000000,24375.0000000,24485.0000000,9730
LME.Nickel,D,23/02/22,000000,24540.0000000,24815.0000000,24250.0000000,24490.0000000,7298
LME.Nickel,D,24/02/22,000000,24425.0000000,25705.0000000,23900.0000000,24275.0000000,14093
LME.Nickel,D,25/02/22,000000,24550.0000000,24685.0000000,23885.0000000,24215.0000000,9595
LME.Nickel,D,28/02/22,000000,24510.0000000,25080.0000000,23970.0000000,24225.0000000,8567
LME.Nickel,D,01/03/22,000000,24275.0000000,25400.0000000,24245.0000000,25350.0000000,6556
LME.Nickel,D,02/03/22,000000,25225.0000000,26505.0000000,25110.0000000,26000.0000000,9069
LME.Nickel,D,03/03/22,000000,25975.0000000,27970.0000000,25920.0000000,27110.0000000,15289
LME.Nickel,D,04/03/22,000000,27080.0000000,30295.0000000,27040.0000000,29130.0000000,12449
LME.Nickel,D,07/03/22,000000,29770.0000000,55000.0000000,29770.0000000,50300.0000000,24013
LME.Nickel,D,08/03/22,000000,49980.0000000,101365.0000000,48000.0000000,48063.0000000,8853
LME.Nickel,D,09/03/22,000000,48048.0000000,48048.0000000,48048.0000000,48048.0000000,3
LME.Nickel,D,10/03/22,000000,48033.0000000,48033.0000000,48033.0000000,48033.0000000,3
LME.Nickel,D,11/03/22,000000,48033.0000000,48033.0000000,48033.0000000,48033.0000000,3
LME.Nickel,D,14/03/22,000000,48002.0000000,48002.0000000,48002.0000000,48002.0000000,3
LME.Nickel,D,15/03/22,000000,47986.0000000,47986.0000000,47986.0000000,47986.0000000,3
LME.Nickel,D,16/03/22,000000,45590.0000000,45590.0000000,43995.0000000,45590.0000000,206
LME.Nickel,D,17/03/22,000000,41945.0000000,41945.0000000,41495.0000000,41945.0000000,9
LME.Nickel,D,18/03/22,000000,36915.0000000,36915.0000000,36865.0000000,36915.0000000,114
LME.Nickel,D,21/03/22,000000,31380.0000000,31380.0000000,31380.0000000,31380.0000000,138
LME.Nickel,D,22/03/22,000000,27020.0000000,30205.0000000,27020.0000000,28485.0000000,16386
LME.Nickel,D,23/03/22,000000,29700.0000000,32380.0000000,28800.0000000,32380.0000000,3538
LME.Nickel,D,24/03/22,000000,34200.0000000,37235.0000000,34100.0000000,37235.0000000,2455
LME.Nickel,D,25/03/22,000000,40000.0000000,40700.0000000,34500.0000000,36300.0000000,3729
LME.Nickel,D,28/03/22,000000,33005.0000000,34490.0000000,32535.0000000,33000.0000000,1627
LME.Nickel,D,29/03/22,000000,32660.0000000,32990.0000000,31785.0000000,31900.0000000,2708
LME.Nickel,D,30/03/22,000000,33060.0000000,33130.0000000,32400.0000000,32575.0000000,1400
LME.Nickel,D,31/03/22,000000,32495.0000000,33745.0000000,32010.0000000,32100.0000000,1908
LME.Nickel,D,01/04/22,000000,32000.0000000,34270.0000000,31940.0000000,34000.0000000,1903
LME.Nickel,D,04/04/22,000000,34000.0000000,34000.0000000,32650.0000000,32700.0000000,1491
LME.Nickel,D,05/04/22,000000,33245.0000000,33850.0000000,32980.0000000,33610.0000000,1647
LME.Nickel,D,06/04/22,000000,33100.0000000,34355.0000000,32810.0000000,33430.0000000,1901
LME.Nickel,D,07/04/22,000000,33200.0000000,34000.0000000,32500.0000000,33870.0000000,1768
LME.Nickel,D,08/04/22,000000,33710.0000000,34185.0000000,33420.0000000,34000.0000000,1467
