<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
LOR-TDG,D,03/01/22,000000,423.0000000,430.2000000,422.0000000,429.6000000,1941
LOR-TDG,D,04/01/22,000000,431.5000000,433.4500000,424.5000000,431.7000000,1359
LOR-TDG,D,05/01/22,000000,434.2500000,439.2000000,421.5500000,421.5500000,1655
LOR-TDG,D,06/01/22,000000,422.0000000,422.8000000,413.4500000,414.4500000,1885
LOR-TDG,D,07/01/22,000000,413.9500000,414.5000000,406.9000000,408.5500000,1065
LOR-TDG,D,10/01/22,000000,410.9500000,410.9500000,392.6000000,401.4000000,3206
LOR-TDG,D,11/01/22,000000,399.9000000,402.4000000,394.0500000,398.5500000,4624
LOR-TDG,D,12/01/22,000000,400.7500000,403.6000000,394.9500000,402.1000000,1780
LOR-TDG,D,13/01/22,000000,401.8000000,406.2000000,385.7500000,388.2000000,3263
LOR-TDG,D,14/01/22,000000,387.6500000,389.2000000,378.2500000,381.2000000,2415
LOR-TDG,D,17/01/22,000000,385.1500000,391.5000000,378.2000000,388.2500000,2570
LOR-TDG,D,18/01/22,000000,389.2000000,389.2000000,375.0500000,378.4000000,3320
LOR-TDG,D,19/01/22,000000,376.0000000,381.2500000,372.4000000,376.7000000,2732
LOR-TDG,D,20/01/22,000000,379.8500000,383.5500000,374.2500000,379.6500000,1645
LOR-TDG,D,21/01/22,000000,381.0500000,381.0500000,372.0500000,372.0500000,2246
LOR-TDG,D,24/01/22,000000,370.0000000,376.7500000,362.8500000,373.1000000,4995
LOR-TDG,D,25/01/22,000000,372.1000000,373.5000000,365.1000000,371.8500000,1991
LOR-TDG,D,26/01/22,000000,372.7000000,377.0500000,368.8000000,371.6500000,2948
LOR-TDG,D,27/01/22,000000,370.7500000,377.9500000,361.4000000,372.2500000,3518
LOR-TDG,D,28/01/22,000000,374.2000000,378.0500000,362.7500000,371.8000000,3063
LOR-TDG,D,31/01/22,000000,374.4500000,380.9500000,371.0000000,379.2500000,2666
LOR-TDG,D,01/02/22,000000,380.0000000,381.5500000,376.9500000,380.5500000,3043
LOR-TDG,D,02/02/22,000000,380.2000000,383.9000000,377.3500000,381.5500000,2504
LOR-TDG,D,03/02/22,000000,382.1000000,385.0500000,371.2500000,372.5500000,2299
LOR-TDG,D,04/02/22,000000,374.6500000,380.0000000,367.0000000,370.9500000,1811
LOR-TDG,D,07/02/22,000000,373.8000000,374.3000000,368.6500000,371.6500000,2345
LOR-TDG,D,08/02/22,000000,373.8500000,374.9000000,367.6000000,371.6000000,1835
LOR-TDG,D,09/02/22,000000,374.2000000,383.3500000,369.9500000,381.0000000,2449
LOR-TDG,D,10/02/22,000000,382.9500000,382.9500000,356.1500000,364.0000000,6698
LOR-TDG,D,11/02/22,000000,364.6000000,366.6500000,359.0500000,359.2500000,2526
LOR-TDG,D,14/02/22,000000,357.0000000,358.7000000,346.8500000,350.7000000,8570
LOR-TDG,D,15/02/22,000000,351.3000000,359.6000000,351.2500000,359.2000000,4232
LOR-TDG,D,16/02/22,000000,359.5000000,359.9500000,353.6500000,357.3000000,2255
LOR-TDG,D,17/02/22,000000,357.4000000,366.0000000,351.2500000,353.1500000,2447
LOR-TDG,D,18/02/22,000000,353.4000000,366.0000000,353.4000000,361.4000000,3323
LOR-TDG,D,21/02/22,000000,362.0500000,362.0500000,335.8000000,336.4500000,6497
LOR-TDG,D,22/02/22,000000,335.9500000,351.3500000,335.9500000,348.2000000,3474
LOR-TDG,D,23/02/22,000000,350.6500000,351.7500000,339.0000000,340.5000000,2498
LOR-TDG,D,24/02/22,000000,335.9000000,346.0000000,329.6500000,346.0000000,7591
LOR-TDG,D,25/02/22,000000,343.8000000,357.5500000,339.3500000,355.5500000,2788
LOR-TDG,D,28/02/22,000000,354.0000000,356.8000000,346.0000000,356.8000000,2870
LOR-TDG,D,01/03/22,000000,357.5000000,357.5000000,341.0000000,342.5500000,1364
LOR-TDG,D,02/03/22,000000,343.5500000,351.1500000,340.6500000,348.4500000,1651
LOR-TDG,D,03/03/22,000000,348.2500000,352.5500000,344.7000000,346.6000000,1472
LOR-TDG,D,04/03/22,000000,346.0000000,346.0000000,334.4000000,336.5000000,3037
LOR-TDG,D,07/03/22,000000,336.0000000,346.9000000,329.5000000,338.1000000,3360
LOR-TDG,D,08/03/22,000000,335.3000000,346.0500000,326.2000000,333.5000000,2483
LOR-TDG,D,09/03/22,000000,340.3500000,361.2000000,339.1000000,355.0000000,2035
LOR-TDG,D,10/03/22,000000,358.0000000,360.8500000,336.8000000,342.5500000,1985
