<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SBER,D,03/01/22,000000,295.9000000,305.5000000,294.3400000,305.4700000,50156260
SBER,D,04/01/22,000000,305.5100000,310.1000000,301.6300000,304.2400000,53268220
SBER,D,05/01/22,000000,303.5600000,304.2600000,287.0000000,287.0100000,70015940
SBER,D,06/01/22,000000,286.8600000,295.1000000,281.0000000,293.9200000,79329410
SBER,D,10/01/22,000000,295.5300000,298.8800000,288.6800000,291.6900000,67393720
SBER,D,11/01/22,000000,292.9300000,293.9400000,288.7100000,291.8800000,58894910
SBER,D,12/01/22,000000,292.5000000,292.9200000,285.0500000,290.4000000,81815210
SBER,D,13/01/22,000000,289.6900000,290.3700000,269.9000000,272.5000000,211547650
SBER,D,14/01/22,000000,272.3900000,277.9800000,249.2000000,261.0000000,406232780
SBER,D,17/01/22,000000,262.2000000,264.0100000,247.0000000,257.7800000,248613210
SBER,D,18/01/22,000000,258.8000000,259.3900000,228.0900000,234.7000000,484049150
SBER,D,19/01/22,000000,232.8900000,249.0000000,221.0300000,244.8600000,360884470
SBER,D,20/01/22,000000,244.1200000,263.0000000,240.0100000,254.6100000,329059220
SBER,D,21/01/22,000000,252.9800000,259.0800000,246.0000000,246.9000000,295614320
SBER,D,24/01/22,000000,246.5100000,249.8800000,226.0000000,236.9700000,325615680
SBER,D,25/01/22,000000,236.9900000,243.5500000,231.0000000,239.5900000,232503340
SBER,D,26/01/22,000000,240.0600000,245.1700000,233.3000000,236.9000000,224800440
SBER,D,27/01/22,000000,234.9900000,260.0000000,233.1000000,254.2900000,301187890
SBER,D,28/01/22,000000,255.8600000,262.0000000,252.0200000,257.8200000,204153960
SBER,D,31/01/22,000000,258.8800000,269.6000000,258.8100000,269.4200000,156087540
SBER,D,01/02/22,000000,269.7100000,273.1000000,260.5600000,264.7000000,170357700
SBER,D,02/02/22,000000,265.8000000,266.9100000,254.5200000,261.0000000,170198890
SBER,D,03/02/22,000000,258.4500000,259.8700000,250.0600000,250.7900000,151127560
SBER,D,04/02/22,000000,251.9900000,259.7400000,251.9100000,256.5300000,126990670
SBER,D,07/02/22,000000,257.0000000,260.5300000,253.5200000,257.6100000,85547520
SBER,D,08/02/22,000000,257.6100000,269.9000000,256.5200000,269.8000000,161498400
SBER,D,09/02/22,000000,270.0100000,279.7100000,270.0000000,279.0900000,193232800
SBER,D,10/02/22,000000,279.2100000,282.3000000,273.6700000,275.2000000,180119880
SBER,D,11/02/22,000000,274.8800000,275.8700000,259.6100000,260.8300000,213783420
SBER,D,14/02/22,000000,256.6900000,259.5000000,245.1000000,256.7000000,357398630
SBER,D,15/02/22,000000,257.6000000,274.0000000,257.5100000,274.0000000,271473810
SBER,D,16/02/22,000000,276.8800000,281.0000000,274.1500000,277.7800000,195684110
SBER,D,17/02/22,000000,277.0000000,277.0000000,259.3600000,260.5800000,262060710
SBER,D,18/02/22,000000,262.1400000,267.0000000,245.0000000,250.2800000,270538090
SBER,D,21/02/22,000000,249.1200000,258.3200000,184.3000000,201.0000000,1084339130
SBER,D,22/02/22,000000,198.7200000,219.9000000,182.0300000,208.5300000,945941710
SBER,D,24/02/22,000000,186.5800000,187.5400000,89.5900000,132.1800000,828329350
SBER,D,25/02/22,000000,123.7500000,152.8900000,115.1100000,131.1200000,396287150
SBER,D,24/03/22,000000,131.0000000,156.2000000,130.1500000,136.2400000,153705270
SBER,D,25/03/22,000000,137.1000000,147.0000000,128.2000000,131.5000000,57307510
SBER,D,28/03/22,000000,130.6000000,131.4700000,125.0000000,125.0000000,32756540
SBER,D,29/03/22,000000,126.1900000,137.5700000,122.0000000,128.7700000,72242360
SBER,D,30/03/22,000000,136.5000000,138.4000000,131.1100000,134.6000000,35411460
SBER,D,31/03/22,000000,135.2000000,147.4100000,134.5200000,143.6900000,118239240
SBER,D,01/04/22,000000,144.9900000,155.4000000,144.5100000,154.5000000,118603620
SBER,D,04/04/22,000000,158.7600000,166.8800000,150.2000000,166.0000000,115516920
SBER,D,05/04/22,000000,169.8300000,169.9000000,147.7600000,154.1000000,130008010
SBER,D,06/04/22,000000,143.5200000,153.3000000,140.6500000,141.6000000,108343440
SBER,D,07/04/22,000000,143.2000000,149.9000000,142.5000000,147.5000000,58520280
SBER,D,08/04/22,000000,149.0100000,151.0000000,141.0600000,143.7200000,48303110
