<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
YNDX,D,03/01/22,000000,4570.0000000,4631.8000000,4503.2000000,4515.2000000,848647
YNDX,D,04/01/22,000000,4525.8000000,4577.0000000,4413.0000000,4479.8000000,906790
YNDX,D,05/01/22,000000,4477.0000000,4477.0000000,4270.0000000,4275.0000000,990732
YNDX,D,06/01/22,000000,4275.0000000,4374.2000000,4206.2000000,4226.6000000,1177922
YNDX,D,10/01/22,000000,4194.0000000,4262.4000000,4061.4000000,4196.4000000,1491994
YNDX,D,11/01/22,000000,4217.2000000,4398.6000000,4177.8000000,4338.2000000,1677241
YNDX,D,12/01/22,000000,4355.0000000,4464.8000000,4330.0000000,4393.2000000,1487477
YNDX,D,13/01/22,000000,4393.0000000,4450.0000000,4150.0000000,4168.0000000,1978967
YNDX,D,14/01/22,000000,4175.2000000,4250.0000000,3726.0000000,3938.6000000,3328471
YNDX,D,17/01/22,000000,3953.2000000,4088.8000000,3875.0000000,4075.6000000,1906402
YNDX,D,18/01/22,000000,4084.6000000,4115.6000000,3739.0000000,3769.0000000,2665731
YNDX,D,19/01/22,000000,3770.2000000,3968.6000000,3570.0000000,3701.8000000,3633679
YNDX,D,20/01/22,000000,3705.0000000,3860.0000000,3665.0000000,3669.2000000,2675018
YNDX,D,21/01/22,000000,3650.8000000,3748.2000000,3475.2000000,3490.0000000,2983581
YNDX,D,24/01/22,000000,3495.0000000,3550.0000000,3094.8000000,3345.0000000,4851065
YNDX,D,25/01/22,000000,3325.2000000,3477.0000000,3225.0000000,3409.2000000,3461723
YNDX,D,26/01/22,000000,3424.0000000,3563.8000000,3314.4000000,3364.8000000,3250109
YNDX,D,27/01/22,000000,3320.0000000,3595.0000000,3276.0000000,3405.2000000,4035166
YNDX,D,28/01/22,000000,3421.0000000,3525.0000000,3371.6000000,3448.4000000,3395043
YNDX,D,31/01/22,000000,3487.0000000,3718.2000000,3456.0000000,3717.6000000,2663098
YNDX,D,01/02/22,000000,3715.0000000,3944.8000000,3662.8000000,3724.0000000,3344738
YNDX,D,02/02/22,000000,3749.0000000,3840.0000000,3640.0000000,3675.0000000,2710466
YNDX,D,03/02/22,000000,3629.8000000,3635.6000000,3483.4000000,3517.0000000,2413099
YNDX,D,04/02/22,000000,3575.0000000,3644.0000000,3460.6000000,3502.4000000,2120916
YNDX,D,07/02/22,000000,3511.4000000,3550.0000000,3422.8000000,3468.0000000,1247103
YNDX,D,08/02/22,000000,3477.8000000,3625.8000000,3452.8000000,3624.2000000,1924481
YNDX,D,09/02/22,000000,3640.0000000,3777.0000000,3633.6000000,3763.0000000,2115707
YNDX,D,10/02/22,000000,3760.0000000,3900.2000000,3651.8000000,3805.0000000,2899424
YNDX,D,11/02/22,000000,3789.4000000,3828.0000000,3400.0000000,3429.8000000,3928913
YNDX,D,14/02/22,000000,3428.2000000,3540.0000000,3306.8000000,3471.4000000,4795126
YNDX,D,15/02/22,000000,3518.4000000,3992.8000000,3497.4000000,3953.2000000,7828656
YNDX,D,16/02/22,000000,3981.0000000,4184.4000000,3893.0000000,4044.8000000,5892747
YNDX,D,17/02/22,000000,4044.0000000,4044.0000000,3737.2000000,3772.6000000,4475290
YNDX,D,18/02/22,000000,3800.0000000,3880.0000000,3457.0000000,3475.4000000,5000023
YNDX,D,21/02/22,000000,3465.0000000,3648.8000000,2845.0000000,3065.8000000,10649817
YNDX,D,22/02/22,000000,3027.4000000,3409.8000000,2900.0000000,3154.8000000,10240422
YNDX,D,24/02/22,000000,2954.0000000,2954.0000000,1700.0000000,1990.0000000,9011283
YNDX,D,25/02/22,000000,1949.8000000,2385.0000000,1900.0000000,1931.2000000,5757694
YNDX,D,29/03/22,000000,2010.0000000,2173.0000000,1932.0000000,2020.0000000,2573925
YNDX,D,30/03/22,000000,2100.2000000,2250.0000000,2025.0000000,2154.0000000,1740526
YNDX,D,31/03/22,000000,2220.2000000,2290.0000000,2155.0000000,2259.0000000,1676144
YNDX,D,01/04/22,000000,2299.4000000,2460.0000000,2280.0000000,2325.0000000,2138371
YNDX,D,04/04/22,000000,2370.2000000,2420.0000000,2201.0000000,2285.0000000,1768864
YNDX,D,05/04/22,000000,2299.0000000,2340.0000000,2020.0000000,2158.4000000,1723047
YNDX,D,06/04/22,000000,2109.0000000,2145.0000000,2025.0000000,2070.8000000,1395892
YNDX,D,07/04/22,000000,2072.0000000,2246.2000000,2071.0000000,2130.0000000,1406513
YNDX,D,08/04/22,000000,2172.0000000,2188.6000000,2075.0000000,2115.0000000,620180
